Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,444,28798,7966,58,46,0,0,0,0,101,5624,278,2,5,0,0,0,0,1,0,0,0,0,0,0,5,605,516,-1,1,1
2,61,8124,28882,446,46,0,0,0,0,2,278,5624,101,5,0,0,0,0,2,567,20682,567,20682,567,0,5,605,516,-1,1,1
3,55,7840,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,0,5,605,516,-1,1,1
1,645,40320,9078,66,56,0,0,0,0,101,5794,556,4,5,0,0,0,0,1,0,0,0,0,0,0,6,947,858,-1,1,1
2,70,9278,48332,763,56,0,0,0,0,4,556,11944,190,5,0,0,0,0,2,1138,38862,1138,38862,1138,0,6,947,858,-1,1,1
3,179,16880,9162,68,56,0,0,0,0,93,6706,556,4,5,0,0,0,0,3,0,0,0,0,0,0,6,947,858,-1,1,1
1,2905,12757214,17742,130,146,0,0,0,0,99,5702,556,4,5,0,0,0,0,1,0,0,0,0,0,0,5,3696,3591,-1,1,1
2,256,26151,12765418,3027,146,0,0,0,0,4,556,5632,98,5,0,0,0,0,2,513,6427938,513,6427938,513,0,5,3696,3591,-1,1,1
3,416,6328981,6329462,428,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,0,5,3696,3591,-1,1,1
1,1009,18954505,21872,163,191,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,4,2058,1947,-1,1,1
2,394,37544,18932439,691,191,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,0,4,2058,1947,-1,1,1
3,501,12628322,12666900,1070,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,0,4,2058,1947,-1,1,1
1,1015,18955339,22748,170,201,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,0,4,2084,1973,-1,1,1
2,401,38420,18933315,698,201,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,0,4,2084,1973,-1,1,1
3,507,12629156,12667776,1077,201,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,0,4,2084,1973,-1,1,1
1,1023,18956451,23860,178,211,0,0,0,0,4,556,556,4,4,0,0,0,0,1,0,0,0,0,0,0,4,2108,1997,-1,1,1
2,409,39532,18934427,706,211,0,0,0,0,4,556,556,4,4,0,0,0,0,2,0,0,0,0,0,0,4,2108,1997,-1,1,1
3,515,12630268,12668888,1085,211,0,0,0,0,4,556,556,4,4,0,0,0,0,3,0,0,0,0,0,0,4,2108,1997,-1,1,1
1,1029,18957285,24694,184,221,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,4,2140,2029,-1,1,1
2,415,40366,18935261,712,221,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,0,4,2140,2029,-1,1,1
3,521,12631102,12669722,1091,221,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,0,4,2140,2029,-1,1,1
1,65,9068,9078,66,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,6,1176,1091,-1,1,1
2,488,31866,39419,598,56,0,0,0,0,99,5702,5632,98,5,0,0,0,0,2,475,21978,475,21978,475,0,6,1176,1091,-1,1,1
3,591,38899,31796,487,56,0,0,0,0,98,5632,5632,98,5,0,0,0,0,3,475,21978,475,21978,475,0,6,1176,1091,-1,1,1
1,73,10147,10185,74,66,0,0,0,0,5,759,759,5,5,0,0,0,0,1,0,0,0,0,0,0,8,1883,1793,-1,1,1
2,861,6346662,58523,910,66,0,0,0,0,166,2369790,9116,145,5,0,0,0,0,2,793,39775,793,39775,793,0,8,1883,1793,-1,1,1
3,901,57891,6346662,861,66,0,0,0,0,144,9046,2369860,167,5,0,0,0,0,3,249988,6335579,249988,6335579,249988,0,8,1883,1793,-1,1,1
1,81,11093,11019,80,76,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,8,2313,2221,-1,1,1
2,1069,6358392,70253,1118,76,0,0,0,0,104,5956,5956,104,5,0,0,0,0,2,496,50629,496,50629,496,0,8,2313,2221,-1,1,1
3,1109,69649,6358392,1069,76,0,0,0,0,104,5956,5956,104,5,0,0,0,0,3,496,6346433,496,6346433,496,0,8,2313,2221,-1,1,1
1,88,11969,11853,86,86,0,0,0,0,2,278,278,2,4,0,0,0,0,1,0,0,0,0,0,0,6,2735,2643,-1,1,1
2,1275,6370014,81875,1324,86,0,0,0,0,101,5624,5624,101,5,0,0,0,0,2,5383,53838,5383,53838,5383,0,6,2735,2643,-1,1,1
3,1314,81229,6370014,1275,86,0,0,0,0,101,5624,5624,101,5,0,0,0,0,3,5383,53838,5383,53838,5383,0,6,2735,2643,-1,1,1
1,94,12803,12729,93,96,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,0,6,3145,3053,-1,1,1
2,1473,6381192,93053,1522,96,0,0,0,0,98,5462,5462,98,5,0,0,0,0,2,469,64152,469,64152,469,0,6,3145,3053,-1,1,1
3,1511,92365,6381192,1473,96,0,0,0,0,98,5462,5462,98,5,0,0,0,0,3,469,64152,469,64152,469,0,6,3145,3053,-1,1,1
1,103,13957,13841,101,106,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,7,3663,3571,-1,1,1
2,1667,6392336,111990,1830,106,0,0,0,0,96,5524,8635,139,5,0,0,0,0,2,847,81819,847,81819,847,0,7,3663,3571,-1,1,1
3,1818,111260,6392336,1667,106,0,0,0,0,139,8635,5524,96,5,0,0,0,0,3,496,74142,496,74142,496,0,7,3663,3571,-1,1,1
1,3105,12768488,18646,137,156,0,0,0,0,102,5848,556,4,5,0,0,0,0,1,0,0,0,0,0,0,5,3907,3802,-1,1,1
2,264,27069,12776692,3227,156,0,0,0,0,4,556,5848,102,5,0,0,0,0,2,534,6437766,534,6437766,534,0,5,3907,3802,-1,1,1
3,422,6329815,6330380,436,156,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,0,5,3907,3802,-1,1,1
1,110,14833,14675,107,116,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,9,4379,4286,-1,1,1
2,2050,12707538,131295,2149,116,0,0,0,0,171,2501034,8753,142,5,0,0,0,0,2,1832,92467,1832,92467,1832,0,9,4379,4286,-1,1,1
3,2136,130523,12707468,2049,116,0,0,0,0,142,8753,2500964,170,5,0,0,0,0,3,315687,6388336,315687,6388336,315687,0,9,4379,4286,-1,1,1
1,116,15667,15579,114,126,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,8,4781,4688,-1,1,1
2,2245,12718578,142335,2344,126,0,0,0,0,98,5632,5632,98,5,0,0,0,0,2,513,102673,513,102673,513,0,8,4781,4688,-1,1,1
3,2331,141563,12718508,2244,126,0,0,0,0,96,5354,5632,98,5,0,0,0,0,3,513,6398542,513,6398542,513,0,8,4781,4688,-1,1,1
1,297,6320106,16616,121,136,0,0,0,0,73,2626676,278,2,5,0,0,0,0,1,0,0,0,0,0,0,7,5360,5261,-1,1,1
2,2442,12729863,153690,2542,136,0,0,0,0,94,5246,5316,95,5,0,0,0,0,2,10535,105354,10535,105354,10535,0,7,5360,5261,-1,1,1
3,2528,152876,19033223,2615,136,0,0,0,0,95,5316,2631714,166,5,0,0,0,0,3,631338,6408640,631338,6408640,631338,0,7,5360,5261,-1,1,1
1,306,6321288,17770,130,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,7,5771,5671,-1,1,1
