Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,132,9181,6311853,238,46,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,0,9,767,688,-1,1,1
2,187,6304498,15713,171,46,0,0,0,0,146,5908166,5969,84,5,0,0,0,0,2,0,0,0,0,0,0,9,767,688,-1,1,1
3,235,6311567,8030,58,46,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,0,9,767,688,-1,1,1
4,59,7878,16439,182,46,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,0,9,767,688,-1,1,1
1,132,9181,6313015,247,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,9,1042,963,-1,1,1
2,303,6312426,6320302,354,56,0,0,0,0,89,6150,5908709,150,5,0,0,0,0,2,604723,6047239,604723,6047239,604723,0,9,1042,963,-1,1,1
3,418,12616148,17078,182,56,0,0,0,0,150,5908705,6710,93,5,0,0,0,0,3,0,0,0,0,0,0,9,1042,963,-1,1,1
4,68,9032,17601,191,56,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,0,9,1042,963,-1,1,1
1,298,6311791,6328307,412,146,0,0,0,0,163,6302428,6892,100,5,0,0,0,0,1,0,0,0,0,0,0,6,2367,2272,-1,1,1
2,524,6327566,18936092,771,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,6,2367,2272,-1,1,1
3,929,25238128,25828,246,146,0,0,0,0,100,6888,560,4,5,0,0,0,0,3,0,0,0,0,0,0,6,2367,2272,-1,1,1
4,311,6321337,6351828,757,146,0,0,0,0,4,556,6302988,167,5,0,0,0,0,4,564600,5646004,564600,5646004,564600,0,6,2367,2272,-1,1,1
1,188,6304531,30197,286,191,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,0,8,7765,7665,-1,1,1
2,660,6336789,25244036,983,191,0,0,0,0,0,0,560,4,4,0,0,0,0,2,0,6303352,0,6303352,0,0,8,7765,7665,-1,1,1
3,625,12636474,186413,3178,191,0,0,0,0,4,556,5636,98,4,0,0,0,0,3,464,156006,464,156006,464,0,8,7765,7665,-1,1,1
4,3080,179186,6334107,467,191,0,0,0,0,98,5632,560,4,5,0,0,0,0,4,0,8077,0,8077,0,0,8,7765,7665,-1,1,1
1,362,12607952,38325,398,201,0,0,0,0,20,394827,1896,22,5,0,0,0,0,1,0,0,0,0,0,0,8,8446,8346,-1,1,1
2,660,6336789,25244918,990,201,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,0,8,8446,8346,-1,1,1
3,737,12644596,197555,3375,201,0,0,0,0,22,1894,5464,98,5,0,0,0,0,3,480,166320,480,166320,480,0,8,8446,8346,-1,1,1
4,3277,190322,12638368,647,201,0,0,0,0,98,5462,395107,22,5,0,0,0,0,4,630330,6303305,630330,6303305,630330,0,8,8446,8346,-1,1,1
1,362,12607952,39445,406,211,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,8,8842,8742,-1,1,1
2,660,6336789,25246038,998,211,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,8,8842,8742,-1,1,1
3,745,12645708,208815,3571,211,0,0,0,0,4,556,5624,98,5,0,0,0,0,3,507,176472,507,176472,507,0,8,8842,8742,-1,1,1
4,3473,201574,12639488,655,211,0,0,0,0,98,5620,560,4,5,0,0,0,0,4,0,0,0,0,0,0,8,8842,8742,-1,1,1
1,362,12607952,40285,412,221,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,8,9524,9424,-1,1,1
2,774,6344610,31550375,1179,221,0,0,0,0,21,1663,526709,28,5,0,0,0,0,2,0,0,0,0,0,0,8,9524,9424,-1,1,1
3,925,18949969,219645,3762,221,0,0,0,0,27,526635,5474,95,5,0,0,0,0,3,453,186462,453,186462,453,0,8,9524,9424,-1,1,1
4,3664,212398,12648149,775,221,0,0,0,0,95,5470,2223,25,5,0,0,0,0,4,0,0,0,0,0,0,8,9524,9424,-1,1,1
1,358,12607661,24356,290,56,0,0,0,0,62,2232589,3477,44,5,0,0,0,0,1,337,7747,337,7747,337,0,8,1062,968,-1,1,1
2,124,8697,6312392,240,56,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,8,1062,968,-1,1,1
3,464,6327854,6319821,348,56,0,0,0,0,44,3473,560,4,5,0,0,0,0,3,0,6303286,0,6303286,0,0,8,1062,968,-1,1,1
4,69,9264,6312315,239,56,0,0,0,0,5,626,2233149,66,5,0,0,0,0,4,630328,6303287,630328,6303287,630328,0,8,1062,968,-1,1,1
1,358,12607661,25441,298,66,0,0,0,0,0,0,763,5,5,0,0,0,0,1,0,7417,0,7417,0,0,6,1091,994,-1,1,1
2,124,8697,6313477,248,66,0,0,0,0,0,0,763,5,5,0,0,0,0,2,0,0,0,0,0,0,6,1091,994,-1,1,1
3,472,6328933,6320864,355,66,0,0,0,0,5,759,763,5,5,0,0,0,0,3,0,0,0,0,0,0,6,1091,994,-1,1,1
4,77,10343,6313470,248,66,0,0,0,0,5,759,833,6,5,0,0,0,0,4,0,6303287,0,6303287,0,0,6,1091,994,-1,1,1
1,359,12607731,26393,306,76,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,4,1114,1014,-1,1,1
2,125,8767,6314429,256,76,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,4,1114,1014,-1,1,1
3,480,6329879,6321774,362,76,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,0,4,1114,1014,-1,1,1
4,84,11219,6314352,255,76,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,0,4,1114,1014,-1,1,1
1,359,12607731,27275,313,86,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,0,6,1419,1319,-1,1,1
2,237,16432,12618672,436,86,0,0,0,0,40,2917,2364139,67,5,0,0,0,0,2,0,0,0,0,0,0,6,1419,1319,-1,1,1
3,660,12634116,6330279,480,86,0,0,0,0,67,2364137,3197,42,5,0,0,0,0,3,0,0,0,0,0,0,6,1419,1319,-1,1,1
4,91,12095,6315234,262,86,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,0,6,1419,1319,-1,1,1
1,359,12607731,28157,320,96,0,0,0,0,0,0,280,2,4,0,0,0,0,1,0,0,0,0,0,0,6,1439,1339,-1,1,1
2,237,16432,12619554,443,96,0,0,0,0,0,0,280,2,4,0,0,0,0,2,0,6303287,0,6303287,0,0,6,1439,1339,-1,1,1
3,666,12634950,6331161,487,96,0,0,0,0,2,278,280,2,4,0,0,0,0,3,0,7549,0,7549,0,0,6,1439,1339,-1,1,1
4,98,12971,6316116,269,96,0,0,0,0,2,278,280,2,4,0,0,0,0,4,0,0,0,0,0,0,6,1439,1339,-1,1,1
1,473,12615524,6332680,502,106,0,0,0,0,42,3045,2364419,69,4,0,0,0,0,1,0,0,0,0,0,0,6,1752,1652,-1,1,1
2,237,16432,12620716,452,106,0,0,0,0,0,0,560,4,4,0,0,0,0,2,0,0,0,0,0,0,6,1752,1652,-1,1,1
3,848,18939465,6340074,609,106,0,0,0,0,69,2364415,3605,46,4,0,0,0,0,3,0,0,0,0,0,0,6,1752,1652,-1,1,1
4,107,14125,6317278,278,106,0,0,0,0,4,556,560,4,4,0,0,0,0,4,0,0,0,0,0,0,6,1752,1652,-1,1,1
