Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,59,8008,8082,60,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,0,5,401,307,-1,1,1
2,57,7924,7998,58,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,0,5,401,307,-1,1,1
3,233,6311515,8082,60,46,0,0,0,0,2,280,278,2,5,0,0,0,0,3,0,0,0,0,0,0,5,401,307,-1,1,1
1,68,9162,17164,185,56,0,0,0,0,4,556,6706,93,5,0,0,0,0,1,0,0,0,0,0,0,6,682,588,-1,1,1
2,240,6312505,9110,66,56,0,0,0,0,150,5908705,556,4,5,0,0,0,0,2,0,0,0,0,0,0,6,682,588,-1,1,1
3,241,6312635,9236,69,56,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,0,6,682,588,-1,1,1
1,254,26035,6329601,430,146,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,5,1815,1705,-1,1,1
2,576,12631016,25573,244,146,0,0,0,0,100,6888,556,4,5,0,0,0,0,2,0,0,0,0,0,0,5,1815,1705,-1,1,1
3,766,18935992,26067,254,146,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,0,5,1815,1705,-1,1,1
1,169,22124,12629036,518,191,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,6,5204,5098,-1,1,1
2,506,12628491,19112376,3933,191,0,0,0,0,4,556,5632,98,5,0,0,0,0,2,464,156006,464,156006,464,0,6,5204,5098,-1,1,1
3,1369,31562256,21956,165,191,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,0,6,5204,5098,-1,1,1
1,176,23000,12629912,525,201,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,0,6,5527,5421,-1,1,1
2,512,12629325,19123512,4130,201,0,0,0,0,2,278,5408,97,5,0,0,0,0,2,480,166320,480,166320,480,0,6,5527,5421,-1,1,1
3,1481,31570384,22832,172,201,0,0,0,0,22,1896,278,2,5,0,0,0,0,3,0,0,0,0,0,0,6,5527,5421,-1,1,1
1,184,24112,12631024,533,211,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,6,5740,5634,-1,1,1
2,520,12630437,19134764,4326,211,0,0,0,0,4,556,5578,97,5,0,0,0,0,2,507,176472,507,176472,507,0,6,5740,5634,-1,1,1
3,1489,31571504,23944,180,211,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,0,0,0,0,0,6,5740,5634,-1,1,1
1,190,24946,12631858,539,221,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,6,6131,6025,-1,1,1
2,526,12631271,19145588,4517,221,0,0,0,0,4,556,5470,95,5,0,0,0,0,2,453,186462,453,186462,453,0,6,6131,6025,-1,1,1
3,1669,37875771,24778,186,221,0,0,0,0,24,395369,556,4,5,0,0,0,0,3,0,0,0,0,0,0,6,6131,6025,-1,1,1
