Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,188,6304547,16497,183,46,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,0,7,489,403,-1,1,1
2,10,856,8130,60,46,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,0,7,489,403,-1,1,1
3,60,8082,6311515,233,46,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,0,7,489,403,-1,1,1
4,179,16055,8040,59,46,0,0,0,0,2,278,280,2,5,0,0,0,0,5,0,0,0,0,0,0,7,489,403,-1,1,1
1,188,6304547,17659,192,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,4,516,430,-1,1,1
2,10,856,9292,69,56,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,4,516,430,-1,1,1
3,69,9236,6312635,241,56,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,0,4,516,430,-1,1,1
4,188,17209,9202,68,56,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,0,4,516,430,-1,1,1
1,478,12615885,6337645,546,146,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,4,1593,1491,-1,1,1
2,12,996,18294,139,146,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,4,1593,1491,-1,1,1
3,254,26067,18935992,766,146,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,0,4,1593,1491,-1,1,1
4,543,6337179,18204,138,146,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,0,4,1593,1491,-1,1,1
1,991,31525535,6364601,910,191,0,0,0,0,20,394809,1827,19,5,0,0,0,0,1,0,0,0,0,0,0,6,3112,3013,-1,1,1
2,427,6320894,12636766,628,191,0,0,0,0,0,0,560,4,5,0,0,0,0,2,0,0,0,0,0,0,6,3112,3013,-1,1,1
3,165,21956,31562256,1369,191,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,0,6,3112,3013,-1,1,1
4,1247,18970522,22292,170,191,0,0,0,0,4,556,560,4,5,0,0,0,0,5,0,0,0,0,0,0,6,3112,3013,-1,1,1
1,1097,31532823,12668862,1090,201,0,0,0,0,20,1616,395107,22,5,0,0,0,0,1,0,0,0,0,0,0,8,3412,3313,-1,1,1
