Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,121,8487,6311952,239,46,0,0,0,0,79,5491,5777176,145,5,0,0,0,0,1,0,0,0,0,0,0,7,409,353,-1,1,1
2,60,8114,8198,62,46,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,0,7,409,353,-1,1,1
1,121,8487,6313114,248,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,6,424,367,-1,1,1
2,70,9346,9360,71,56,0,0,0,0,5,630,560,4,5,0,0,0,0,2,0,0,0,0,0,0,6,424,367,-1,1,1
1,413,6319959,12633364,606,146,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,4,1143,1077,-1,1,1
2,255,26207,6321855,316,146,0,0,0,0,4,560,560,4,4,0,0,0,0,2,0,0,0,0,0,0,4,1143,1077,-1,1,1
1,3224,6470214,6491345,3378,191,0,0,0,0,107,6223,269121,114,5,0,0,0,0,1,39988,6460097,39988,6460097,39988,0,8,6764,6695,-1,1,1
2,348,6325959,30749,294,191,0,0,0,0,19,263819,1761,18,5,0,0,0,0,2,0,0,0,0,0,0,8,6764,6695,-1,1,1
1,3414,6480474,6502487,3575,201,0,0,0,0,95,5130,5410,97,5,0,0,0,0,1,518,6470357,518,6470357,518,0,8,7158,7089,-1,1,1
2,355,6326841,31631,301,201,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,0,8,7158,7089,-1,1,1
1,3707,6497827,12817162,3945,211,0,0,0,0,112,6551,400391,117,5,0,0,0,0,1,39983,12783816,39983,12783816,39983,0,8,7827,7758,-1,1,1
2,536,12631322,39910,413,211,0,0,0,0,24,395369,2089,23,5,0,0,0,0,2,0,0,0,0,0,0,8,7827,7758,-1,1,1
1,3892,6507817,12827992,4136,221,0,0,0,0,91,4914,5474,95,5,0,0,0,0,1,491,12793806,491,12793806,491,0,8,8209,8140,-1,1,1
2,542,12632162,40750,419,221,0,0,0,0,4,560,560,4,5,0,0,0,0,2,1550,15500,1550,15500,1550,0,8,8209,8140,-1,1,1
1,11,942,9324,69,56,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,0,4,134,80,-1,1,1
2,68,9234,9234,68,56,0,0,0,0,4,560,560,4,4,0,0,0,0,2,0,0,0,0,0,0,4,134,80,-1,1,1
1,12,1012,10479,78,66,0,0,0,0,1,70,833,6,5,0,0,0,0,1,0,0,0,0,0,0,4,156,98,-1,1,1
2,77,10389,10389,77,66,0,0,0,0,6,833,833,6,5,0,0,0,0,2,0,0,0,0,0,0,4,156,98,-1,1,1
1,12,1012,11361,85,76,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,0,4,171,112,-1,1,1
2,84,11271,11271,84,76,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,0,4,171,112,-1,1,1
1,12,1012,12243,92,86,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,0,4,185,126,-1,1,1
2,91,12153,12153,91,86,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,0,4,185,126,-1,1,1
